subject,trait,n_total,n_correct,accuracy,accuracy_diff
abstract_algebra,agreeableness,20,1,0.05,0.05
abstract_algebra,conscientiousness,20,0,0.0,0.0
abstract_algebra,extraversion,20,1,0.05,0.05
abstract_algebra,neuroticism,20,3,0.15,0.15
abstract_algebra,neutral,20,0,0.0,0.0
abstract_algebra,openness,20,1,0.05,0.05
college_physics,agreeableness,20,7,0.35,-0.050000000000000044
college_physics,conscientiousness,20,3,0.15,-0.25
college_physics,extraversion,20,1,0.05,-0.35000000000000003
college_physics,neuroticism,20,2,0.1,-0.30000000000000004
college_physics,neutral,20,8,0.4,0.0
college_physics,openness,20,5,0.25,-0.15000000000000002
high_school_psychology,agreeableness,20,11,0.55,-0.1499999999999999
high_school_psychology,conscientiousness,20,5,0.25,-0.44999999999999996
high_school_psychology,extraversion,20,4,0.2,-0.49999999999999994
high_school_psychology,neuroticism,20,5,0.25,-0.44999999999999996
high_school_psychology,neutral,20,14,0.7,0.0
high_school_psychology,openness,20,8,0.4,-0.29999999999999993
high_school_us_history,agreeableness,20,8,0.4,-0.19999999999999996
high_school_us_history,conscientiousness,20,6,0.3,-0.3
high_school_us_history,extraversion,20,7,0.35,-0.25
high_school_us_history,neuroticism,20,6,0.3,-0.3
high_school_us_history,neutral,20,12,0.6,0.0
high_school_us_history,openness,20,7,0.35,-0.25
logical_fallacies,agreeableness,20,6,0.3,-0.25000000000000006
logical_fallacies,conscientiousness,20,5,0.25,-0.30000000000000004
logical_fallacies,extraversion,20,8,0.4,-0.15000000000000002
logical_fallacies,neuroticism,20,4,0.2,-0.35000000000000003
logical_fallacies,neutral,20,11,0.55,0.0
logical_fallacies,openness,20,6,0.3,-0.25000000000000006
moral_scenarios,agreeableness,20,5,0.25,0.04999999999999999
moral_scenarios,conscientiousness,20,6,0.3,0.09999999999999998
moral_scenarios,extraversion,20,5,0.25,0.04999999999999999
moral_scenarios,neuroticism,20,2,0.1,-0.1
moral_scenarios,neutral,20,4,0.2,0.0
moral_scenarios,openness,20,4,0.2,0.0
professional_law,agreeableness,20,5,0.25,-0.09999999999999998
professional_law,conscientiousness,20,2,0.1,-0.24999999999999997
professional_law,extraversion,20,2,0.1,-0.24999999999999997
professional_law,neuroticism,20,2,0.1,-0.24999999999999997
professional_law,neutral,20,7,0.35,0.0
professional_law,openness,20,5,0.25,-0.09999999999999998
